smiles,HOMO(eV),LUMO(eV),hole mobility,electron mobility,uC*,dimers1,DOI
O=C1C2C(C(N(CCOCCOCCOCCOCCOCCOCCOC)C=2C2=NC=C(C3=CC(OC)=C(C4SC([Cs])=CC=4OC)S3)C=C2)=O)=C(C2=CC=C([Fr])C=N2)N1CCOCCOCCOCCOCCOCCOCCOC,-5,-3.6,0.037,,2.22,"['COC(C=CS1)=C1C2=C(OC)C=CS2','COC1=CSC(C2=CN=CC=C2)=C1','O=C1C(C2=CN1C)=C(C3=NC=CC=C3)N(C)C2=O','O=C1C(C2=CN1C)=C(C3=NC=CC=C3)N(C)C2=O','COC1=CSC(C2=CN=CC=C2)=C1']",https://doi.org/10.1002/adma.201908047
O(CCOCCOCCOC)C1C=C(C2=CC=C([Cs])S2)SC=1C1=C(C=C([Fr])S1)OCCOCCOCCOC,-4.57,,1.00E-04,,11,"['COC1=C(C2=C(OC)C=CS2)SC=C1','COC1=CSC(C2=CC=CS2)=C1','COC1=CSC(C2=CC=CS2)=C1']",https://doi.org/10.1021/acs.chemmater.0c02041
O(CCOCCOCCOCCOC)C1C=C(C2=CC=C([Cs])S2)SC=1C1=C(C=C([Fr])S1)OCCOCCOCCOCCOC,-4.64,,0.17,,144,"['COC1=C(C2=C(OC)C=CS2)SC=C1','COC1=CSC(C2=CC=CS2)=C1','COC1=CSC(C2=CC=CS2)=C1']",https://doi.org/10.1021/acs.chemmater.0c02041
O(CCOCCOCCOCCOCCOCCOC)C1C=C(C2=CC=C([Cs])S2)SC=1C1=C(C=C([Fr])S1)OCCOCCOCCOCCOCCOCCOC,-4.66,,0.07,,62,"['COC1=C(C2=C(OC)C=CS2)SC=C1','COC1=CSC(C2=CC=CS2)=C1','COC1=CSC(C2=CC=CS2)=C1']",https://doi.org/10.1021/acs.chemmater.0c02041
O(CCOCCOCCOC)C1=C(SC(C2=CC(=C(S2)C2SC([Fr])=CC=2OCCOCCOCCOC)OCCOCCOCCOC)=C1)C1SC([Cs])=CC=1OCCOCCOCCOC,-4.46,-2.81,1,,161,"['COC1=C(C2=C(OC)C=CS2)SC=C1','COC1=CSC(C2=CC(OC)=CS2)=C1','COC1=C(C2=C(OC)C=CS2)SC=C1','COC1=CSC(C2=CC(OC)=CS2)=C1']",https://doi.org/10.1002/adma.202002748
O(CCOCCOCCOCCOC)C1=C(SC(C2=CC(=C(S2)C2SC([Fr])=CC=2OCCOCCOC)OCCOCCOC)=C1)C1SC([Cs])=CC=1OCCOCCOCCOCCOC,-4.46,-2.82,2.03,,522,"['COC1=C(C2=C(OC)C=CS2)SC=C1','COC1=CSC(C2=CC(OC)=CS2)=C1','COC1=C(C2=C(OC)C=CS2)SC=C1','COC1=CSC(C2=CC(OC)=CS2)=C1']",https://doi.org/10.1002/adma.202002748
O(CCOCCOCCOCCOCCOC)C1=C(SC(C2=CC(=C(S2)C2SC([Fr])=CC=2OCCOC)OCCOC)=C1)C1SC([Cs])=CC=1OCCOCCOCCOCCOCCOC,-4.5,-2.85,2.91,,496,"['COC1=C(C2=C(OC)C=CS2)SC=C1','COC1=CSC(C2=CC(OC)=CS2)=C1','COC1=C(C2=C(OC)C=CS2)SC=C1','COC1=CSC(C2=CC(OC)=CS2)=C1']",https://doi.org/10.1002/adma.202002748
O(CCOCCOCCOCCOCCOCCOC)C1=C(SC(C2=CC(=C(S2)C2SC([Fr])=CC=2OC)OC)=C1)C1SC([Cs])=CC=1OCCOCCOCCOCCOCCOCCOC,-4.43,-2.79,3.32,,302,"['COC1=C(C2=C(OC)C=CS2)SC=C1','COC1=CSC(C2=CC(OC)=CS2)=C1','COC1=C(C2=C(OC)C=CS2)SC=C1','COC1=CSC(C2=CC(OC)=CS2)=C1']",https://doi.org/10.1002/adma.202002748
C(C1C=C(C2=CC(CCCCCCCCCCCC)=C(C3=CC=C(C4=C5C(C(N4CCOCCOCCOC)=O)=C(C4=CC=C([Fr])S4)N(CCOCCOCCOC)C5=O)S3)S2)SC=1[Cs])CCCCCCCCCCC,-4.93,,1.6,,210,"['CC1=CSC(C2=CC(C)=CS2)=C1','CC(C=CS1)=C1C2=CC=CS2','CN(C=C1C2=C(N(C1=O)C)C3=CC=CS3)C2=O','CN(C=C1C2=C(N(C1=O)C)C3=CC=CS3)C2=O','CC(C=CS1)=C1C2=CC=CS2']",https://doi.org/10.1002/aelm.202000701
O=C1N(CC(COCCOCCOCCOC)COCCOCCOCCOC)C(C2=CC=C(S2)[Fr])=C3C(N(CC(COCCOCCOCCOC)COCCOCCOCCOC)C(C4=CC=C(S4)C5=CC=C(S5)[Cs])=C31)=O,-4.98,-3.69,1.74E+00,,7,"['O=C1N(C(C2=CC=CS2)=C3C(N(C=C31)C)=O)C','O=C1N(C=C2C(N(C(C3=CC=CS3)=C21)C)=O)C','C1(C2=CC=CS2)=CC=CS1','C1(C2=CC=CS2)=CC=CS1']",https://doi.org/10.1039/D1TC00440A
O=C1N(CC(COCCOCCOCCOC)COCCOCCOCCOC)C(C2=CC=C(S2)[Fr])=C3C(N(CC(COCCOCCOCCOC)COCCOCCOCCOC)C(C4=CC=C(S4)C5=CC=C(S5)C6=CC=C([Cs])S6)=C31)=O,-4.91,-3.74,6.10E-01,,52,"['O=C1N(C(C2=CC=CS2)=C3C(N(C=C31)C)=O)C','O=C1N(C=C2C(N(C(C3=CC=CS3)=C21)C)=O)C','C1(C2=CC=CS2)=CC=CS1','C1(C2=CC=CS2)=CC=CS1','C1(C2=CC=CS2)=CC=CS1']",https://doi.org/10.1039/D1TC00440A
O=C1N(C(C2=CC=C([Fr])S2)=C3C(N(C(C4=CC=C(C5=CC(OC)=C(C6=C(C=C(S6)[Cs])OC)S5)S4)=C31)CCOCCOCCOCCOCCOCCOCCOC)=O)CCOCCOCCOCCOCCOCCOCCOC,-4.62,-3.72,2.43E+00,,199,"['O=C1N(C(C2=CC=CS2)=C3C(N(C=C31)C)=O)C','O=C1N(C(C2=CC=CS2)=C3C(N(C=C31)C)=O)C','COC1=C(C2=C(C=CS2)OC)SC=C1','COC1=CSC(C2=CC=CS2)=C1','COC1=CSC(C2=CC=CS2)=C1']",https://doi.org/10.1039/D1TC00440A
O=C1N(CC(COCCOCCOCCOC)COCCOCCOCCOC)C(C2=CC=C(S2)[Fr])=C3C(N(CC(COCCOCCOCCOC)COCCOCCOCCOC)C(C4=CC=C(S4)C5=CC(OC)=C(S5)C6=C(OC)C=C([Cs])S6)=C31)=O,-4.35,-3.75,1.67E+00,,216,"['O=C1N(C(C2=CC=CS2)=C3C(N(C=C31)C)=O)C','O=C1N(C(C2=CC=CS2)=C3C(N(C=C31)C)=O)C','COC1=C(C2=C(C=CS2)OC)SC=C1','COC1=CSC(C2=CC=CS2)=C1','COC1=CSC(C2=CC=CS2)=C1']",https://doi.org/10.1039/D1TC00440A
O(CCOC)CCOCCN1C(C2C(C(=O)N(CCOCCOCCOC)C=2C2=CC=C([Fr])S2)=C1C1=CC=C(C2=C3C(=C([Cs])S2)OCCO3)S1)=O,-4.6,,8.40E-02,,14,"['CN1C(C(C2=C1)=C(C3=CC=CS3)N(C)C2=O)=O','CN1C(C(C2=C1)=C(C3=CC=CS3)N(C)C2=O)=O','C1(C2=C3OCCOC3=CS2)=CC=CS1','C1(C2=C3OCCOC3=CS2)=CC=CS1']",https://doi.org/10.1002/adfm.202010048
O(CCOC)CCOCCN1C(C2C(C(=O)N(CCOCCOCCOC)C=2C2=CC=C([Fr])S2)=C1C1=CC=C(C2=CC(=C([Cs])S2)OCCOCCOC)S1)=O,-4.62,,1.33E-01,,45,"['CN1C(C(C2=C1)=C(C3=CC=CS3)N(C)C2=O)=O','CN1C(C(C2=C1)=C(C3=CC=CS3)N(C)C2=O)=O','COC1=CSC(C2=CC=CS2)=C1','COC1=C(C2=CC=CS2)SC=C1']",https://doi.org/10.1002/adfm.202010048
O=C1N(CCOCCOCCOC)C(C2=CC=C([Fr])S2)=C2C(N(CCOCCOCCOC)C(C3=CC=C(C4=CC5=C(C=C([Cs])S5)S4)S3)=C21)=O,-5.11,-3.89,0.66,,147,"['O=C1N(C(C2=CC=CS2)=C3C(N(C=C31)C)=O)C','O=C1N(C(C2=CC=CS2)=C3C(N(C=C31)C)=O)C','C1(C2=CC3=C(S2)C=CS3)=CC=CS1','C1(C2=CC3=C(S2)C=CS3)=CC=CS1']",https://doi.org/10.1002/anie.202014078
O=C1N(CCOCCOCCOC)C(C2=CC=C([Fr])S2)=C2C(N(CCOCCOCCOC)C(C3=CC=C(C4=CC=C(C5SC([Cs])=CC=5)S4)S3)=C21)=O,-5.03,-3.81,1.72,,377,"['C1(C2=CC=CS2)=CC=CS1','C1(C2=CC=CS2)=CC=CS1','O=C1N(C=C2C(N(C(C3=CC=CS3)=C21)C)=O)C','O=C1N(C=C2C(N(C(C3=CC=CS3)=C21)C)=O)C','C1(C2=CC=CS2)=CC=CS1']",https://doi.org/10.1002/anie.202014078
O=C1N(CCOCCOCCOC)C(C2=CC=C([Fr])S2)=C2C(N(CCOCCOCCOC)C(C3=CC=C(C4=CC(OC)=C(C5SC([Cs])=CC=5OC)S4)S3)=C21)=O,-4.56,-3.6,0.32,,62,"['COC(C=CS1)=C1C2=C(OC)C=CS2','COC1=CSC(C2=CC=CS2)=C1','O=C1N(C=C2C(N(C(C3=CC=CS3)=C21)C)=O)C','O=C1N(C=C2C(N(C(C3=CC=CS3)=C21)C)=O)C','COC1=CSC(C2=CC=CS2)=C1']",https://doi.org/10.1002/anie.202014078
C(C(CCCCCCCCCC)CN1C(C2C(C(N(C=2C2=CC=C(C3SC(=C4C=3OCCO4)C3=C4C(OCCO4)=C([Cs])S3)S2)CC(CCCCCCCC)CCCCCCCCCC)=O)=C1C1=CC=C([Fr])S1)=O)CCCCCCC,-4.99,-3.78,0.095,,2.04,"['C1(C2=C3OCCOC3=CS2)=C4C(OCCO4)=CS1','C1(C2=C(OCCO3)C3=CS2)=CC=CS1','CN1C(C(C2=C1C3=CC=CS3)=CN(C)C2=O)=O','CN1C(C(C2=C1C3=CC=CS3)=CN(C)C2=O)=O','C1(C2=C(OCCO3)C3=CS2)=CC=CS1']",https://doi.org/10.1039/D1TC00338K
O1CCOC2C1=C(C1=C3C(OCCO3)=C([Cs])S1)SC=2C1SC(=CC=1)C1N(C(C2C=1C(N(C=2C1=CC=C([Fr])S1)CCOCCOCCOC)=O)=O)CCOCCOCCOC,-4.99,-3.81,0.087,,16.5,"['C1(C2=C3OCCOC3=CS2)=C4C(OCCO4)=CS1','C1(C2=C(OCCO3)C3=CS2)=CC=CS1','CN1C(C(C2=C1C3=CC=CS3)=CN(C)C2=O)=O','CN1C(C(C2=C1C3=CC=CS3)=CN(C)C2=O)=O','C1(C2=C(OCCO3)C3=CS2)=CC=CS1']",https://doi.org/10.1039/D1TC00338K
