smiles,HOMO(eV),LUMO(eV),hole mobility,electron mobility,uC*,dimers1,DOI
O(CCOCCOC)CCOC1C2=C(C(=C(C3=CC=C([Cs])S3)S2)OCCOCCOCCOC)SC=1C1=CC=C(C2=C(C(F)=C([Fr])C3C2=NSN=3)OCCOCCOCCOC)S1,-4.65,-2.74,1.08,,119.88,"['FC1=CC2=NSN=C2C(C3=CC=CS3)=C1OC','COC1=CSC2=C1SC(C3=CC=CS3)=C2OC','COC1=CSC2=C1SC(C3=CC=CS3)=C2OC','FC1=C(C2=CC=CS2)C3=NSN=C3C=C1OC']",https://doi.org/10.1002/anie.202106084
O(C1C=C(SC=1C1=CC2=C(S1)C=C([Cs])S2)C1=CC(OCCOCCOCCOC)=C([Fr])S1)CCOCCOCCOC,-4.63,-2.9,3.57,,520,"['COC1=C(C2=CC3=C(C=CS3)S2)SC=C1','COC1=CSC(C2=CC(OC)=CS2)=C1','COC1=C(C2=CC3=C(C=CS3)S2)SC=C1']",https://doi.org/10.1021/jacs.1c03516
[Cs]C(S1)=CC2=C1C=C(C3=CC(OCCOCCOCCOC)=C(C(SC([Fr])=C4)=C4OCCOCCOCCOC)S3)S2,-4.61,-2.87,0.55,,106,"['COC1=CSC(C2=CC3=C(C=CS3)S2)=C1','COC1=C(C2=C(OC)C=CS2)SC=C1','COC1=CSC(C2=CC3=C(C=CS3)S2)=C1']",https://doi.org/10.1021/jacs.1c03516
O(CCOCCOCCOC)C1=C(SC([Fr])=C1)C1=C(C=C([Cs])S1)OCCOCCOCCOC,,,0.04,,25,"['COC1=C(C2=C(OC)C=CS2)SC=C1','COC1=CSC(C2=CC(OC)=CS2)=C1']",https://doi.org/10.1002/adfm.202100723
O(C1=C(SC(C2SC(=C(C=2)OCCOCCOC)C2SC([Fr])=CC=2OCCOCCOC)=C1)C1SC([Cs])=CC=1OCCOCCOCCOC)CCOCCOCCOC,,,3.07,,3895,"['COC1=C(C2=C(OC)C=CS2)SC=C1','COC1=CSC(C2=CC(OC)=CS2)=C1','COC1=C(C2=C(OC)C=CS2)SC=C1','COC1=CSC(C2=CC(OC)=CS2)=C1']",https://doi.org/10.1002/adfm.202100723
COCCOCCOCC(OCC)OC1=C(C2=C(OCCOCCOCCOCCOC)C=C(S2)[Cs])SC([Fr])=C1,,,1.55,,939,"['COC1=C(C2=C(OC)C=CS2)SC=C1','COC1=CSC(C2=CC(OC)=CS2)=C1']",https://doi.org/10.1002/adfm.202100723
O1CC(OCCOCCOC)(OCCOCCOC)COC2C1=C(C1=C3C(=C([Cs])S1)OCC(OCCOCCOC)(OCCOCCOC)CO3)SC=2[Fr],,,0.37,,75,['COC(OC)(COC1=CS2)COC1=C2C3=C4C(OCC(OC)(CO4)OC)=CS3'],https://doi.org/10.1021/jacs.2c08850
O1CC(OCCOCCOCCOC)(OCCOCCOCCOC)COC2C1=C(C1=C3C(=C([Cs])S1)OCC(OCCOCCOCCOC)(OCCOCCOCCOC)CO3)SC=2[Fr],,,0.28,,60,['COC(OC)(COC1=CS2)COC1=C2C3=C4C(OCC(OC)(CO4)OC)=CS3'],https://doi.org/10.1021/jacs.2c08850
O1CC(OCCOCCOCCOCCOC)(OCCOCCOCCOCCOC)COC2C1=C(C1=C3C(=C([Cs])S1)OCC(OCCOCCOCCOCCOC)(OCCOCCOCCOCCOC)CO3)SC=2[Fr],,,1.03,,208,['COC(OC)(COC1=CS2)COC1=C2C3=C4C(OCC(OC)(CO4)OC)=CS3'],https://doi.org/10.1021/jacs.2c08850
O(CCOCCOCCOCCOC)C1C=C([Fr])SC=1C1SC(=CC=1OCCOCCOCCOCCOC)C1=CC2SC([Cs])=CC=2S1,-4.26,-2.59,8.93,,1099,"['COC1=C(C2=C(OC)C=CS2)SC=C1','COC1=CSC(C2=CC3=C(S2)C=CS3)=C1','COC1=CSC(C2=CC3=C(S2)C=CS3)=C1']",https://doi.org/10.1038/s41467-022-35573-y
O=C1C2=C3C4=C(C(N(CCCCCCOCCOCCOCCOC)C(C4=CC(=C3C(=O)N1CCCCCCOCCOCCOCCOC)C1=CC=C([Cs])S1)=O)=O)C([Fr])=C2,-5.83,-4.18,,5.68E-03,2.32,"['O=C1C2=C3C4=C(C=C2)C(N(C(C4=CC(C5=CC=CS5)=C3C(N1C)=O)=O)C)=O','O=C1C2=C3C4=C(C=C2)C(N(C(C4=CC(C5=CC=CS5)=C3C(N1C)=O)=O)C)=O']",https://doi.org/10.1038/s41467-022-35573-y
O(CCOCCOCCOC)C1C(OCCOCCOCCOC)=C([Fr])C2C(=NSN=2)C=1C1=CC=C(C2=C(C3=C(C(=C(C4=CC=C([Cs])S4)S3)OCCOCCOCCOC)S2)OCCOCCOCCOC)S1,-4.57,-2.36,0.26,,39.37,"['COC(C1=C2C(OC)=CS1)=C(S2)C3=CC=CS3','COC(C1=C2C(OC)=CS1)=C(S2)C3=CC=CS3','COC1=C(C2=CC=CS2)C3=NSN=C3C=C1OC','COC1=C(C2=CC=CS2)C3=NSN=C3C=C1OC']",https://doi.org/10.1021/acs.chemmater.3c00327
O(C1C([H])=C(SC=1C1=C(C=C(C2=C(OCCOCCOCCOC)C([H])=C([Fr])S2)C(=C1)OCCOCCOCCOC)OCCOCCOCCOC)C1C=CC([Cs])=CC=1)CCOCCOCCOC.O,-4.46,-2.38,0.26,,48,"['COC(C=CS1)=C1C2=CC(OC)=CC=C2OC','COC(C=CS1)=C1C2=CC(OC)=CC=C2OC','COC1=CSC(C2=CC=CC=C2)=C1','COC1=CSC(C2=CC=CC=C2)=C1']",https://doi.org/10.1002/anie.202304390
O(CCOCCOCCOC)C1=C(SC(C2=C(C=C(C3=C([H])C(=C([Fr])S3)OCCOCCOCCOC)C(=C2)OCCOCCOCCOC)OCCOCCOCCOC)=C1[H])C1C=CC([Cs])=CC=1.O,-4.44,-2.29,0.61,,90,"['COC1=CC=C(OC)C=C1C2=CC(OC)=CS2','COC1=CC=C(OC)C=C1C2=CC(OC)=CS2','COC1=CSC(C2=CC=CC=C2)=C1','COC1=CSC(C2=CC=CC=C2)=C1']",https://doi.org/10.1002/anie.202304390
[H]C1=C(SC(C2=C(C=C(C3=C(OCCOCCOCCOC)C([H])=C([Fr])S3)C(OCCOCCOCCOC)=C2)OCCOCCOCCOC)=C1OCCOCCOCCOC)C4=CC=C([Cs])S4,-4.34,-2.45,1.65,,319,"['COC(C=CC(OC)=C1)=C1C2=C(OC)C=CS2','COC(C=CC(OC)=C1)=C1C2=C(OC)C=CS2','COC1=CSC(C2=CC=CS2)=C1','COC1=CSC(C2=CC=CS2)=C1']",https://doi.org/10.1002/anie.202304390
COCCOCCOCCOC1=C([Fr])SC(C2=CC(OCCOCCOCCOC)=C(C3=C(C(OCCOCCOCCOC)=C(S3)C4=CC=C([Cs])S4)[H])C=C2OCCOCCOCCOC)=C1[H],-4.24,-2.39,0.38,,60,"['COC1=CSC(C2=CC(OC)=CC=C2OC)=C1','COC1=CSC(C2=CC(OC)=CC=C2OC)=C1','COC1=C(C2=CC=CS2)SC=C1','COC1=C(C2=CC=CS2)SC=C1']",https://doi.org/10.1002/anie.202304390
[H]C1=C(C2=CC=C(C3=CC=C([Cs])S3)S2)SC(C4=C(OCCOCCOCCOC)C=C(C(OCCOCCOCCOC)=C4)C5=C(C([H])=C(S5)[Fr])OCCOCCOCCOC)=C1OCCOCCOCCOC,-4.3,-2.4,0.68,,134,"['COC(C=CC(OC)=C1)=C1C2=C(OC)C=CS2','COC(C=CC(OC)=C1)=C1C2=C(OC)C=CS2','COC1=CSC(C2=CC=CS2)=C1','C1(C2=CC=CS2)=CC=CS1','COC1=CSC(C2=CC=CS2)=C1']",https://doi.org/10.1002/anie.202304390
COCCOCCOCCOC(C([H])=C1C(C(OCCOCCOCCOC)=C2)=CC(OCCOCCOCCOC)=C2C3=C([H])C(OCCOCCOCCOC)=C(C4=CC=C(C5=CC=C([Cs])S5)S4)S3)=C(S1)[Fr],-4.2,-2.32,0.39,,84,"['COC1=CSC(C2=CC(OC)=CC=C2OC)=C1','COC1=CSC(C2=CC(OC)=CC=C2OC)=C1','COC1=C(C2=CC=CS2)SC=C1','C1(C2=CC=CS2)=CC=CS1','COC1=C(C2=CC=CS2)SC=C1']",https://doi.org/10.1002/anie.202304390
O=C1N(CCOCCOC(=O)COCCOCCOC)C(=O)C2=CC(C3=CC(=C(S3)C3=C(C=C([Cs])S3)[H])[H])=C3C4=C(C=C([Fr])C1=C24)C(N(CCOCCOC(=O)COCCOCCOC)C3=O)=O,-5.53,-3.85,,1.00E-04,1.90E-02,"['[H]C(C=CS1)=C1C2=C([H])C=CS2','O=C1N(C(C2=CC(C3=CC([H])=CS3)=C4C5=C(C(N(C4=O)C)=O)C=C(C1=C25))=O)C','O=C1N(C(C2=CC(C3=CC([H])=CS3)=C4C5=C(C(N(C4=O)C)=O)C=C(C1=C25))=O)C']",https://doi.org/10.1038/ncomms13066
O=C1N(CCOCCOC(=O)COCCOCCOC)C(=O)C2=CC(C3=CC(=C(S3)C3=C(C=C([Cs])S3)OCCOCCOCCOC)OCCOCCOCCOC)=C3C4=C(C=C([Fr])C1=C24)C(N(CCOCCOC(=O)COCCOCCOC)C3=O)=O,-4.83,-4.12,,1.00E-05,3.97E-03,"['COC(C=CS1)=C1C2=C(OC)C=CS2','O=C1N(C(C2=CC(C3=CC(OC)=CS3)=C4C5=C(C(N(C4=O)C)=O)C=CC1=C25)=O)C','O=C1N(C(C2=CC(C3=CC(OC)=CS3)=C4C5=C(C(N(C4=O)C)=O)C=CC1=C25)=O)C']",https://doi.org/10.1038/ncomms13066
O=C1C2C3C4=C(C(N(CC(CCCCCCCCCC)CCCCCCCC)C(C4=C(C=2)C2=CC=C(C4=CC=C([Cs])S4)S2)=O)=O)C=C([Fr])C=3C(=O)N1CC(CCCCCCCCCC)CCCCCCCC,-5.71,-4.29,,0.132,,"['C1(C2=CC=CS2)=CC=CS1','O=C1C(C2=C(C(N1C)=O)C=CC(C(N3C)=O)=C24)=CC(C5=CC=CS5)=C4C3=O','O=C1C(C2=C(C(N1C)=O)C=CC(C(N3C)=O)=C24)=CC(C5=CC=CS5)=C4C3=O']",https://doi.org/10.1021/acs.chemmater.8b00321
O=C1C2C3C4=C(C(N(CCOCCOCCOCCOCCOCCOCCOC)C(C4=C(C=2)C2=CC=C(C4=CC=C([Cs])S4)S2)=O)=O)C=C([Fr])C=3C(=O)N1CCOCCOCCOCCOCCOCCOCCOC,-5.5,-4.17,,1.96E-04,,"['C1(C2=CC=CS2)=CC=CS1','O=C1C(C2=C(C(N1C)=O)C=CC(C(N3C)=O)=C24)=CC(C5=CC=CS5)=C4C3=O','O=C1C(C2=C(C(N1C)=O)C=CC(C(N3C)=O)=C24)=CC(C5=CC=CS5)=C4C3=O']",https://doi.org/10.1021/acs.chemmater.8b00321
O=C1C(C2=C(C(N1CCCCOCCOCCOCCOC)=O)C=C([Fr])C(C(N3CCCCOCCOCCOCCOC)=O)=C24)=C(C5=CC=C(S5)C6=CC=C([Cs])S6)C=C4C3=O,-5.5,-4.1,,1.90E-03,0.3,"['C1(C2=CC=CS2)=CC=CS1','O=C1C(C2=C(C(N1C)=O)C=CC(C(N3C)=O)=C24)=CC(C5=CC=CS5)=C4C3=O','O=C1C(C2=C(C(N1C)=O)C=CC(C(N3C)=O)=C24)=CC(C5=CC=CS5)=C4C3=O']",https://doi.org/10.1021/acsami.0c18599
O=C1C2C3C4=C(C(=O)N(CCCCOCCOCCOCCOC)C(C4=CC=2C2=CC(OC)=C(C4SC([Cs])=CC=4OC)S2)=O)C([Fr])=CC=3C(N1CCCCOCCOCCOCCOC)=O,-5,-3.8,,4.52E-04,0.08,"['COC(C=CS1)=C1C2=C(OC)C=CS2','O=C1C(C2=C(C(N1C)=O)C=CC(C(N3C)=O)=C24)=C(C5=CC(OC)=CS5)C=C4C3=O','O=C1C(C2=C(C(N1C)=O)C=CC(C(N3C)=O)=C24)=C(C5=CC(OC)=CS5)C=C4C3=O']",https://doi.org/10.1021/acsami.0c18599
O=C1C(C2=C(C(N1CCCCOCCOCCOCCOC)=O)C=C([Fr])C(C(N3CCCCOCCOCCOCCOC)=O)=C24)=C(C5=CC(OCCOCCOCCOC)=C(S5)C6=C(OCCOCCOCCOC)C=C([Cs])S6)C=C4C3=O,-5,-4,,1.25E-03,0.236,"['COC(C=CS1)=C1C2=C(OC)C=CS2','O=C1C(C2=C(C(N1C)=O)C=CC(C(N3C)=O)=C24)=C(C5=CC(OC)=CS5)C=C4C3=O','O=C1C(C2=C(C(N1C)=O)C=CC(C(N3C)=O)=C24)=C(C5=CC(OC)=CS5)C=C4C3=O']",https://doi.org/10.1021/acsami.0c18599
O=C1C(C2=C(C(N1CCCCOCCOCCOCCOC)=O)C=C([Fr])C(C(N3CCCCOCCOCCOCCOC)=O)=C24)=C(C5=CC(OCCOCCOCCOCCOC)=C(S5)C6=C(OCCOCCOCCOCCOC)C=C([Cs])S6)C=C4C3=O,-5,-4,,5.97E-05,0.012,"['COC(C=CS1)=C1C2=C(OC)C=CS2','O=C1C(C2=C(C(N1C)=O)C=CC(C(N3C)=O)=C24)=C(C5=CC(OC)=CS5)C=C4C3=O','O=C1C(C2=C(C(N1C)=O)C=CC(C(N3C)=O)=C24)=C(C5=CC(OC)=CS5)C=C4C3=O']",https://doi.org/10.1021/acsami.0c18599
O=C1C(C2=C(C(N1CCCCOCCOCCOCCOC)=O)C=C([Fr])C(C(N3CCCCOCCOCCOCCOC)=O)=C24)=C(C5=CC(OCCCCOCCOCCOCCOC)=C(S5)C6=C(OCCCCOCCOCCOCCOC)C=C([Cs])S6)C=C4C3=O,-5.1,-4,,6.32E-05,0.007,"['COC(C=CS1)=C1C2=C(OC)C=CS2','O=C1C(C2=C(C(N1C)=O)C=CC(C(N3C)=O)=C24)=C(C5=CC(OC)=CS5)C=C4C3=O','O=C1C(C2=C(C(N1C)=O)C=CC(C(N3C)=O)=C24)=C(C5=CC(OC)=CS5)C=C4C3=O']",https://doi.org/10.1021/acsami.0c18599
O=C1N(C(C2=CC(C3=CC(OCCOCCOCCOC)=C(C4=C(OCCOCCOCCOC)C=C(S4)[Cs])S3)=C5C6=C(C(N(C5=O)CCCCCCOC(COCCOCCOC)=O)=O)C=C(C1=C26)[Fr])=O)CCCCCCOC(COCCOCCOC)=O,-5.1,-4,,6.30E-04,0.16,"['OC(C=CS1)=C1C2=C(C=CS2)O','O=C1N(C)C(C2=CC(C3=CC(O)=CS3)=C4C5=C(C=CC1=C25)C(N(C)C4=O)=O)=O','O=C1N(C)C(C2=CC(C3=CC(O)=CS3)=C4C5=C(C=CC1=C25)C(N(C)C4=O)=O)=O']",https://doi.org/10.1002/adfm.202008718
O=C1C2C=C(SC=2C2SC3=C(SC4C5SC([Fr])=CC=5C(N(CC(COCCOCCOC)COCCOCCOC)C(C=43)=O)=O)C=2C(N1CC(COCCOCCOC)COCCOCCOC)=O)C1SC([Cs])=C(C=1[H])[H],-5.35,-3.65,,4.40E-02,2.3,"['O=C1C2=C(C3=C(C(N1C)=O)C(SC(C4=C(C(N5C)=O)C=CS4)=C6C5=O)=C6S3)SC(C7=C(F)C(F)=CS7)=C2','O=C1C2=C(C3=C(C(N1C)=O)C(SC(C4=C(C(N5C)=O)C=CS4)=C6C5=O)=C6S3)SC(C7=C(F)C(F)=CS7)=C2']",https://doi.org/10.1002/anie.202109281
O=C1C2C=C(SC=2C2SC3=C(SC4C5SC([Fr])=CC=5C(N(CC(COCCOCCOC)COCCOCCOC)C(C=43)=O)=O)C=2C(N1CC(COCCOCCOC)COCCOCCOC)=O)C1SC([Cs])=C(C=1F)F,-5.59,-3.82,,3.40E-02,15.2,"['O=C1C2=C(C3=C(C(N1C)=O)C(SC(C4=C(C(N5C)=O)C=CS4)=C6C5=O)=C6S3)SC(C7=CC=CS7)=C2','O=C1C2=C(C3=C(C(N1C)=O)C(SC(C4=C(C(N5C)=O)C=CS4)=C6C5=O)=C6S3)SC(C7=CC=CS7)=C2']",https://doi.org/10.1002/anie.202109281
O=C1/C(/C2C(=CC3/C(/C(OC=3C=2)=O)=C2\C(N(CCOCCOCCOCCOCCOCCOC)C3=CC([Fr])=CC=C3\2)=O)O1)=C1/C(N(CCOCCOCCOCCOCCOCCOC)C2C=C(C3SC([Cs])=CC=3)C=CC=2/1)=O,-5.53,-4.25,,0.069,7.6,"['O=C1/C(C2=CC3=C(/C(C(O3)=O)=C4C(N(C5=CC=CC=C5\4)C)=O)C=C2O1)=C6C(N(C7=C/6C=CC(C8=CC=CS8)=C7)C)=O','O=C1/C(C2=CC3=C(/C(C(O3)=O)=C4C(N(C5=CC=CC=C5\4)C)=O)C=C2O1)=C6C(N(C7=C/6C=CC(C8=CC=CS8)=C7)C)=O']",https://doi.org/10.1002/adfm.202111439
O=C1/C(/C2C(=CC3/C(/C(OC=3C=2)=O)=C2\C(N(CCOCCOCCOCCOCCOCCOC)C3=NC([Fr])=CC=C3\2)=O)O1)=C1/C(N(CCOCCOCCOCCOCCOCCOC)C2N=C(C3SC([Cs])=CC=3)C=CC=2/1)=O,-5.76,-4.48,,0.059,4.9,"['O=C1/C(C2=CC3=C(/C(C(O3)=O)=C4C(N(C5=NC=CC=C5\4)C)=O)C=C2O1)=C6C(N(C7=C/6C=CC(C8=CC=CS8)=N7)C)=O','O=C1/C(C2=CC3=C(/C(C(O3)=O)=C4C(N(C5=NC=CC=C5\4)C)=O)C=C2O1)=C6C(N(C7=C/6C=CC(C8=CC=CS8)=N7)C)=O']",https://doi.org/10.1002/adfm.202111439
O=C1/C(/C2C(=CC3/C(/C(OC=3C=2)=O)=C2\C(N(CCOCCOCCOCCOCCOCCOC)C3=CC([Fr])=CC=C3\2)=O)O1)=C1/C(N(CCOCCOCCOCCOCCOCCOC)C2C=C(C3SC(C4SC([Cs])=CC=4)=CC=3)C=CC=2/1)=O,-5.43,-4.19,,0.019,1.3,"['C1(C2=CC=CS2)=CC=CS1','O=C1/C(C2=CC3=C(/C(C(O3)=O)=C4C(N(C5=CC=CC=C5\4)C)=O)C=C2O1)=C6C(N(C7=C/6C=CC(C8=CC=CS8)=C7)C)=O','O=C1/C(C2=CC3=C(/C(C(O3)=O)=C4C(N(C5=CC=CC=C5\4)C)=O)C=C2O1)=C6C(N(C7=C/6C=CC(C8=CC=CS8)=C7)C)=O']",https://doi.org/10.1002/adfm.202111439
O=C1C2=C(C=C3C(N(C(C4=CC(C5=CC=C([Cs])S5)=C(C2=C43)C(N1CC(COCCOCCOCCOC)COCCOCCOCCOC)=O)=O)CC(COCCOCCOCCOC)COCCOCCOCCOC)=O)[Fr],-5.91,-4.16,,2.40E-04,0.04,"['O=C1C2=CC=C3C(N(C)C(C4=CC(C5=CC=CS5)=C(C(N1C)=O)C2=C43)=O)=O','O=C1C2=CC=C3C(N(C)C(C4=CC(C5=CC=CS5)=C(C(N1C)=O)C2=C43)=O)=O']",https://doi.org/10.1002/adfm.202111950
O=C1C2=C(C=C3C(N(C(C4=CC(C5=CC=C([Cs])S5)=C(C2=C43)C(N1CC(COCCOCCOC)COCCOCCOCCOC)=O)=O)CC(COCCOCCOCCOC)COCCOCCOC)=O)[Fr],-5.9,-4.16,,9.40E-04,0.21,"['O=C1C2=CC=C3C(N(C)C(C4=CC(C5=CC=CS5)=C(C(N1C)=O)C2=C43)=O)=O','O=C1C2=CC=C3C(N(C)C(C4=CC(C5=CC=CS5)=C(C(N1C)=O)C2=C43)=O)=O']",https://doi.org/10.1002/adfm.202111950
O=C1C2=C(C=C3C(N(C(C4=CC(C5=CC=C([Cs])S5)=C(C2=C43)C(N1CC(COCCOCCOC)COCCOCCOC)=O)=O)CC(COCCOCCOC)COCCOCCOC)=O)[Fr],-5.88,-4.15,,2.12E-03,0.51,"['O=C1C2=CC=C3C(N(C)C(C4=CC(C5=CC=CS5)=C(C(N1C)=O)C2=C43)=O)=O','O=C1C2=CC=C3C(N(C)C(C4=CC(C5=CC=CS5)=C(C(N1C)=O)C2=C43)=O)=O']",https://doi.org/10.1002/adfm.202111950
O=C1C2=C(C=C3C(N(C(C4=CC(C5=CC=C([Cs])S5)=C(C2=C43)C(N1CC(COCCOC)COCCOCCOCCOC)=O)=O)CC(COCCOCCOCCOC)COCCOC)=O)[Fr],-5.85,-4.15,,2.23E-03,0.56,"['O=C1C2=CC=C3C(N(C)C(C4=CC(C5=CC=CS5)=C(C(N1C)=O)C2=C43)=O)=O','O=C1C2=CC=C3C(N(C)C(C4=CC(C5=CC=CS5)=C(C(N1C)=O)C2=C43)=O)=O']",https://doi.org/10.1002/adfm.202111950
C1=C(C(SC([Cs])=C2[H])=C2)SC(C3=NC=C(N=C3)C4=C5C(N(C(C6=CN=C(C=N6)[Fr])=C5C(N4CCCC(COCCOCCOCCOCCOC)COCCOCCOCCOCCOC)=O)CCCC(COCCOCCOCCOCCOC)COCCOCCOCCOCCOC)=O)=C1,-5.4,-3.54,,1.60E-03,0.22,"['CN(C=C1C(N(C)C(C2=CN=CC=N2)=C13)=O)C3=O','CN(C=C1C(N(C)C(C2=CN=CC=N2)=C13)=O)C3=O','C1(C2=NC=CN=C2)=CC=CS1','[H]C1=CSC(C2=CC=CS2)=C1','C1(C2=NC=CN=C2)=CC=CS1']",https://doi.org/10.1021/acs.chemmater.1c04037
N#CC1=C(C(SC([Cs])=C2[H])=C2C#N)SC(C3=NC=C(N=C3)C4=C5C(N(C(C6=CN=C(C=N6)[Fr])=C5C(N4CCCC(COCCOCCOCCOCCOC)COCCOCCOCCOCCOC)=O)CCCC(COCCOCCOCCOCCOC)COCCOCCOCCOCCOC)=O)=C1,-5.82,-3.96,,1.90E-02,1.72,"['CN(C=C1C(N(C)C(C2=CN=CC=N2)=C13)=O)C3=O','CN(C=C1C(N(C)C(C2=CN=CC=N2)=C13)=O)C3=O','N#CC1=CSC(C2=NC=CN=C2)=C1','N#CC1=CSC(C2=NC=CN=C2)=C1']",https://doi.org/10.1021/acs.chemmater.1c04037
O=C1C2=C3C4=C(C(N(CCOCCOCCOCC)C(C4=C(C=C3C(N1CCOCCOCCOCC)=O)C1=NC(OCCCCCCCC)=C(C3SC([Cs])=NC=3OCCCCCCCC)S1)=O)=O)C=C2[Fr],-5.63,-4.35,,3.16E-03,1.44,"['O=C1C2=C3C4=C(C=C2)C(N(C(C4=C(C5=NC(OC)=CS5)C=C3C(N1C)=O)=O)C)=O','COC(N=CS1)=C1C2=C(OC)N=CS2','O=C1C2=C3C4=C(C=C2)C(N(C(C4=C(C5=NC(OC)=CS5)C=C3C(N1C)=O)=O)C)=O']",https://doi.org/10.1002/adfm.202201593
O(CCOCC(COCCOCCOC)CN1C(C2C3=C(SC=2C2=C(C=C(S2)C2SC(/C=C/C4SC([Cs])=CC=4)=CC=2)C1=O)C1C(N(CC(COCCOCCOC)COCCOCCOC)C(C2C=C([Fr])SC=2C=1S3)=O)=O)=O)CCOC,-5.21,-3.55,,1.40E-02,1.5,"['CN1C(C2=C(C3=C(C1=O)C=C(C4=CC=CS4)S3)SC5=C2SC6=C5C(N(C(C7=C6SC=C7)=O)C)=O)=O','C=CC1=CC=CS1','C=CC1=CC=CS1','CN1C(C2=C(C3=C(C1=O)C=C(C4=CC=CS4)S3)SC5=C2SC6=C5C(N(C(C7=C6SC=C7)=O)C)=O)=O']",https://doi.org/10.1002/adma.202201340
O(CCOCC(COCCOCCOC)CN1C(C2C3=C(SC=2C2=C(C=C(S2)C2SC(/C=C/C4SC([Cs])=CC=4C#N)=C(C#N)C=2)C1=O)C1C(N(CC(COCCOCCOC)COCCOCCOC)C(C2C=C([Fr])SC=2C=1S3)=O)=O)=O)CCOC,-5.57,-3.81,,2.40E-01,41.3,"['CN1C(C2=C(C3=C(C1=O)C=C(C4=CC(C#N)=CS4)S3)SC5=C2SC6=C5C(N(C(C7=C6SC=C7)=O)C)=O)=O','C=CC(SC=C1)=C1C#N','C=CC(SC=C1)=C1C#N','CN1C(C2=C(C3=C(C1=O)C=C(C4=CC(C#N)=CS4)S3)SC5=C2SC6=C5C(N(C(C7=C6SC=C7)=O)C)=O)=O']",https://doi.org/10.1002/adma.202201340
O(CCOCCOCCOCCOCCOC)CCN1C(C2C([Fr])=CC3C(N(CCOCCOCCOCCOCCOCCOC)C(C4=C(C=C(C1=O)C=2C4=3)C1=C2C(=C(C3=C4C(=C([Cs])S3)OCCO4)S1)OCCO2)=O)=O)=O,-5.23,-3.94,,3.96E-04,0.03,"['CN1C(C(C=CC(C(N2C)=O)=C34)=C3C(C1=O)=CC(C5=C6C(OCCO6)=CS5)=C4C2=O)=O','C12=CSC(C3=C4OCCOC4=CS3)=C1OCCO2','CN1C(C(C=CC(C(N2C)=O)=C34)=C3C(C1=O)=CC(C5=C6C(OCCO6)=CS5)=C4C2=O)=O']",https://doi.org/10.1002/adfm.202201821
O(CCOCCOCCOCCOCCOC)CCN1C(C2C([Fr])=CC3C(N(CCOCCOCCOCCOCCOCCOC)C(C4=C(C=C(C1=O)C=2C4=3)C1=CC(F)=C(C2=C(F)C=C([Cs])S2)S1)=O)=O)=O,-5.9,-4.25,,6.10E-04,0.14,"['CN1C(C(C=CC(C(N2C)=O)=C34)=C3C(C1=O)=CC(C5=CC(F)=CS5)=C4C2=O)=O','FC(C=CS1)=C1C2=C(C=CS2)F','CN1C(C(C=CC(C(N2C)=O)=C34)=C3C(C1=O)=CC(C5=CC(F)=CS5)=C4C2=O)=O']",https://doi.org/10.1002/adfm.202201821
N(CC(COCCOCCOCCOCCOC)COCCOCCOCCOCCOC)1C(C2C3C4C(C(N(CC(COCCOCCOCCOCCOC)COCCOCCOCCOCCOC)C(C=4C4=C(SC([Fr])=C4)C=3C1=O)=O)=O)=C1C=2C=C(C2SC(=CC=2)C2=CC=C([Cs])S2)S1)=O,-5.14,-4.17,,1.64E-03,0.31,"['C1(C2=CC=CS2)=CC=CS1','CN1C(C(C2=C(C1=O)C3=C4C=CS3)=C(C=C(S5)C6=CC=CS6)C5=C(C(N7C)=O)C2=C4C7=O)=O','CN1C(C(C2=C(C1=O)C3=C4C=CS3)=C(C=C(S5)C6=CC=CS6)C5=C(C(N7C)=O)C2=C4C7=O)=O']",https://doi.org/10.1021/acs.chemmater.2c01552
O=C1C2C=C([Fr])C3C(N(CCOCCOCCOCCOCCOCCOC)C(C4C=3C=2C(C(=O)N1CCOCCOCCOCCOCCOCCOC)=C(C=4)/C=C/[Cs])=O)=O,-6.43,-4.4,,1.53E-02,2.31,"['O=C1C2=C3C4=C(C(N(C(C4=CC(C=C)=C3C(N1C)=O)=O)C)=O)C=C2','O=C1C2=C3C4=C(C(N(C(C4=CC(C=C)=C3C(N1C)=O)=O)C)=O)C=C2']",https://doi.org/10.1039/D2MH01100J
O=C1/C(/C2C=CC(C3=CC=C([Cs])S3)=NC=2N1CCOCCOCCOCCOC)=C1/C(N(CCOCCOCCOCCOC)C2=NC([Fr])=CC=C2/1)=O,-5.3,-3.84,,2.00E-03,0.1,"['O=C1/C(C2=C(N1C)N=C(C3=CC=CS3)C=C2)=C4C(N(C5=NC=CC=C5/4)C)=O','O=C1/C(C2=C(N1C)N=C(C3=CC=CS3)C=C2)=C4C(N(C5=NC=CC=C5/4)C)=O']",https://doi.org/10.1021/acs.chemmater.2c02447
